filepath,n_samples,channel,samplerate,duration,label,source_file,segment_index,segment_start_sample,segment_end_sample,segment_type,augmentation_index,augmentation_tags,augmentation_group
processed/cat/1-47819-A-5_frame_000.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,0,0,32000,training_frame,,,
processed/cat/1-47819-A-5_frame_001.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,1,32000,64000,training_frame,,,
processed/cat/1-47819-A-5_frame_002.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,2,64000,80000,training_frame,,,
processed/cat/1-47819-A-5_aug_000_frame_000.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,0,0,32000,augmentation_frame,0,bgmix_884|shift_-6453|gain_-4.15db,1-47819-A-5_aug_000
processed/cat/1-47819-A-5_aug_000_frame_001.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,1,32000,64000,augmentation_frame,0,bgmix_884|shift_-6453|gain_-4.15db,1-47819-A-5_aug_000
processed/cat/1-47819-A-5_aug_000_frame_002.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,2,64000,80000,augmentation_frame,0,bgmix_884|shift_-6453|gain_-4.15db,1-47819-A-5_aug_000
processed/cat/1-47819-A-5_aug_001_frame_000.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,0,0,32000,augmentation_frame,1,bgmix_825|shift_12099|gain_2.85db,1-47819-A-5_aug_001
processed/cat/1-47819-A-5_aug_001_frame_001.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,1,32000,64000,augmentation_frame,1,bgmix_825|shift_12099|gain_2.85db,1-47819-A-5_aug_001
processed/cat/1-47819-A-5_aug_001_frame_002.wav,32000,mono,16000,2.0,cat,1-47819-A-5.wav,2,64000,80000,augmentation_frame,1,bgmix_825|shift_12099|gain_2.85db,1-47819-A-5_aug_001
processed/cat/5-214759-B-5_frame_000.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,0,0,32000,training_frame,,,
processed/cat/5-214759-B-5_frame_001.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,1,32000,64000,training_frame,,,
processed/cat/5-214759-B-5_frame_002.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,2,64000,80000,training_frame,,,
processed/cat/5-214759-B-5_aug_000_frame_000.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,0,0,32000,augmentation_frame,0,bgmix_877|shift_-982|gain_5.38db|noise_0.0200,5-214759-B-5_aug_000
processed/cat/5-214759-B-5_aug_000_frame_001.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,1,32000,64000,augmentation_frame,0,bgmix_877|shift_-982|gain_5.38db|noise_0.0200,5-214759-B-5_aug_000
processed/cat/5-214759-B-5_aug_000_frame_002.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,2,64000,80000,augmentation_frame,0,bgmix_877|shift_-982|gain_5.38db|noise_0.0200,5-214759-B-5_aug_000
processed/cat/5-214759-B-5_aug_001_frame_000.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,0,0,32000,augmentation_frame,1,bgmix_790|shift_15353|gain_4.07db|noise_0.0073,5-214759-B-5_aug_001
processed/cat/5-214759-B-5_aug_001_frame_001.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,1,32000,64000,augmentation_frame,1,bgmix_790|shift_15353|gain_4.07db|noise_0.0073,5-214759-B-5_aug_001
processed/cat/5-214759-B-5_aug_001_frame_002.wav,32000,mono,16000,2.0,cat,5-214759-B-5.wav,2,64000,80000,augmentation_frame,1,bgmix_790|shift_15353|gain_4.07db|noise_0.0073,5-214759-B-5_aug_001
processed/cat/4-161303-B-5_frame_000.wav,32000,mono,16000,2.0,cat,4-161303-B-5.wav,0,0,32000,training_frame,,,
processed/cat/4-161303-B-5_frame_001.wav,32000,mono,16000,2.0,cat,4-161303-B-5.wav,1,32000,64000,training_frame,,,
processed/cat/4-161303-B-5_frame_002.wav,32000,mono,16000,2.0,cat,4-161303-B-5.wav,2,64000,80000,training_frame,,,
